漢字,読み,間違い1,間違い2,間違い3,意味。
主客,しゅかく,しゅきゃく,おもきゃく,しゅかくう,主人と客、または主なものと従属するもの。
宿痾,しゅくあ,やどあ,しゅくお,やどお,長年治らないでいる重い病気。
趣向,しゅこう,しこう,しゅごう,しゅきょう,工夫や趣味。
趣旨,しゅし,しゅうし,しゅじ,しゅいし,主な内容。
数珠,じゅず,すうじゅ,かずたま,すうしゅ,仏具の一種で、小さな玉を糸で繋いだもの。「すうじゅ」は誤読で「じゅず」が正しい。
受諾,じゅだく,じゅたく,うけだく,じゅらく,受け入れること。
出生,しゅっしょう,でうまれ,しゅっせい,でしょう,生まれること・生まれ。戸籍用語としては「しゅっしょう」が正式。
出生率,しゅっしょうりつ,しゅっせいりつ,しゅつしょうりつ,しゅっしょうそつ,生まれる割合。
趣味,しゅみ,しゅうみ,しゅび,しゅうび,好み。
受理,じゅり,じゅうり,うけり,じゅれい,受け付けること。
受領,じゅりょう,じゅうりょう,うけりょう,じゅれい,受け取ること。
遵守,じゅんしゅ,そんしゅ,じゅんまもる,ずんしゅ,法律・規則・命令などをよく守ること。「法令遵守」の形で使われる。
逡巡,しゅんじゅん,ためらい,じゅんしゅん,せんじゅん,決断できずにためらうこと。「逡巡して一歩が踏み出せない」などの形で使われる。
上意下達,じょういかたつ,げだつ,じょういげたつ,じょういかだつ,上の者の意思や命令を、下の者へ確実に伝えること。
正気,しょうき,せいき,ただき,まさき,確かな意識。
消却,しょうきゃく,しょうしゃく,しょうけつ,けしょう,帳簿から除くこと。
成就,じょうじゅ,せいじゅ,じょうしゅう,せいしゅう,願いや望みが叶うこと。
頌春,しょうしゅん,こうしゅん,ほめはる,しょうはる,新年を褒めたたえ、祝うこと。年賀状の賀詞。
精進,しょうじん,せいしん,しょうしん,せいじん,一つの物事に精神を集中して励むこと。肉食を断ち身を清めること。
上手,じょうず,かみて,うえて,うわて,技術がすぐれていること。舞台用語では「かみて」と読む場合もある多読み語。
定石,じょうせき,ていせき,さだいし,ていいし,囲碁の決まった打ち方、または物事の定番の方法。
承諾,しょうだく,しょうらく,じょうだく,しょうとく,同意すること。
招聘,しょうへい,しょうせい,まねい,しょうへき,礼を尽くして人を招くこと。専門家や著名人を正式に招待する際に使う。
正味,しょうみ,せいみ,ただみ,まさみ,外袋などを除いた、中身だけの実際の量や価値。
消耗,しょうもう,しょうこう,しょうひ,けしもう,使って減らすこと、また体力や気力が尽きること。「しょうこう」は誤読。
従容,しょうよう,じゅうよう,したがいよう,じゅうようう,ゆったりと落ち着いていて慌てない様子。
性悪,しょうわる,せいあく,さがわる,しょうあく,性質や性格が悪いこと。ひねくれていること。
贖罪,しょくざい,かうざい,ぞくざい,しょくつみ,自分の犯した罪や過ちをつぐなうこと。キリスト教的文脈でも使われる語。
白髪,しらが,はくはつ,しろかみ,しろがみ,色素が抜けた白い髪の毛。「しらが」が和語の読み、「はくはつ」は漢語読み。
私利私欲,しりしよく,わたくしりわたくしよう,しりしよくく,わたくしりわたくしよく,自分の利益や欲望だけを追求すること。
素人,しろうと,そじん,すひと,しろひと,その道の専門でない人・未経験者。「そじん」は誤読で「しろうと」が正しい。
師走,しわす,しそう,しばしり,しうす,旧暦12月・現代では12月の別名。僧侶が東西に走り回るほど忙しい月という説がある。
親見,しんけん,おやみ,しんみ,おやけん,自分の目で実際に確かめること。
進言,しんげん,すすみげん,しんごん,しんけん,意見を述べること。
深謝,しんしゃ,ふかしゃ,しんしゃしゃ,ふかしゃしゃ,深く感謝すること、または深く謝罪すること。
新進気鋭,しんしんきえい,しんしんきぜつ,あたらしんきえい,しんしんけいえい,ある分野に新しく登場し、勢いが盛んなこと。
進退維谷まる,しんたいいきわまる,しんたいいこくまる,しんたいいやまる,しんたいいたにまる,どうにも動きが取れなくなること。
進捗,しんちょく,しんぽ,しんはか,しんちょ,物事が進みはかどること。仕事の「進捗状況」などの形で使われる。
進呈,しんてい,しんてつ,すすみてい,しんじょう,贈ること。
推敲,すいこう,おしこう,すいこうう,おしたたき,文章を何度も練り直すこと。
出納,すいとう,でのう,しゅつのう,でいれ,金銭や物品の出し入れ・収支の管理のこと。会計用語として使われる。
数奇,すうき,すうきき,かずき,かずきき,運命のめぐり合わせが波乱万丈であること。
清々しい,すがすがしい,きよきよしい,さわやか,すがすがしい,さわやかで気持ちが良い、汚れがなく心地よい様子。
数寄屋,すきや,すうきや,かずきや,すきや,茶室風に造った建物、風流な意匠の家。
頗る,すこぶる,はなはだ,たいへん,さかんに,非常に・とても・極めてという意味の副詞。「頗る優秀な人材」などの形で使われる。
即ち,すなわち,そくち,つまり,ただち,言い換えれば・つまり・その場でという意味。接続詞として広く使われる。
寸暇,すんか,そんか,すんげ,すんが,わずかな空き時間。
寸評,すんぴょう,そんぴょう,すんびょう,すんひょう,短い評価。
正確,せいかく,しょうかく,まさかく,せいかくう,間違いがないこと。
逝去,せいきょ,いきょ,せいき,せいきょく,他人が他界すること、死ぬことの尊敬語。他人の死を敬って言う表現。
清拭,せいしき,せいしょく,きよぶき,せいしき,病気などで入浴できない人の体を、温かいタオルなどで拭いて清潔にすること。
脆弱,ぜいじゃく,きじゃく,もろじゃく,ぜいよわ,もろくて弱いこと。システムや体制の弱点を指す際にも使われる。
脆弱性,ぜいじゃくせい,きしゃくせい,よわじゃくせい,ぜいじゃくしょう,コンピュータ等の安全上の欠陥、またはもろさ。
精緻,せいち,せいちゅう,くわしち,せいじ,細部まで細かく精密なこと。非常に細かく丁寧に作られた様子を表す。
赤裸々,せきらら,あからら,あか裸々,せきはだか,包み隠さず、すべてをありのままにすること。
折檻,せっかん,おりかん,せつかん,せっけん,厳しく叱ること。
殺生,せっしょう,せっせい,ころし,さつしょう,生き物を殺すこと。または、むごいこと、気の毒なこと。
折衷,せっちゅう,おりちゅう,せつちゅう,せっこう,双方を取り入れること。
刹那,せつな,さつな,しゃとな,くさり,非常に短い瞬間・時間。「刹那的な喜び」などの形で使われる。仏教語が語源。
折半,せっぱん,おらはん,せつはん,おりはん,二等分にすること。
漸減,ぜんげん,ざんげん,ぜんかん,せんげん,少しずつ減ること。
先見の明,せんけんのめい,さきみのめい,せんけんのあきら,さきみのあきら,将来何が起こるかをあらかじめ見抜く知恵。
漸次,ぜんじ,じょじ,せんじ,ぜんつぎ,だんだんと・少しずつという意味。「漸次改善される」などの形で使われる。
漸進,ぜんしん,ざんしん,せんしん,ぜんじん,少しずつ進むこと。
漸増,ぜんぞう,ざんぞう,ぜんそう,せんぞう,少しずつ増えること。
全幅,ぜんぷく,ぜんはば,ぜんぱく,まったくはば,あらゆる限りの、すべての。「全幅の信頼」などと使う。
洗礼,せんれい,あらいれい,せんらい,せんれつ,キリスト教の入信儀式、または最初の試練。
相応,そうおう,あいおう,そうおうう,あいおうう,ふさわしいこと。
造詣,ぞうけい,ぞうし,つくりけい,つくりし,その分野の学問や技術に深い知識と理解があること。
相好,そうごう,そうこう,あいこう,あいごう,表情や顔立ちのこと。
相克,そうこく,あいこく,そうかつ,そうごく,対立すること。
相殺,そうさい,あいさつ,そうさつ,あいさい,互いの利害・損得を差し引いてゼロにすること。「あいさつ（挨拶）」とは別の語。
相乗効果,そうじょうこうか,あいのりこうか,そうじょうこうが,そうじょうか,互いに高め合う効果。
贈呈,ぞうてい,そうてい,ぞうじょう,おくりてい,贈ること。
疎外,そがい,うとがい,しょがい,そとがい,仲間外れにすること・社会や集団から切り離されること。「疎外感」などの形でよく使われる。
即席,そくせき,すぐせき,そくばしょ,すぐばしょ,その場ですぐに用意すること。
続投,ぞくとう,つづきとう,しょくとう,ぞくなげ,引き続き担当すること。
齟齬,そご,ぎょご,しょご,くいちがい,物事がうまく噛み合わず、食い違うこと。「齟齬をきたす」の形でよく使われる。
遡行,そこう,さくこう,さかのぼり,そぎょう,流れをさかのぼって行くこと。物事の過去にさかのぼって調べること。
措辞,そじ,しょじ,さじ,そうじ,言葉遣い。
措置,そち,しょち,さち,そうち,必要な処置。
措置法,そちほう,しょちほう,そうちほう,さちほう,特別法。
措定,そてい,しょてい,そうてい,さだてい,仮に定めること。
他愛ない,たあいない,たわいない,ほかあいない,たいない,とりとめがない。
対峙,たいじ,たいじじ,むかいじ,むかいじじ,向かい合ってそびえ立つこと、または対抗して睨み合うこと。
大衆,たいしゅう,だいしゅう,おおしゅう,たいしゅうう,一般の民衆。
大勢,たいせい,おおぜい,だいぜい,たいせい,物事の全体の形勢、大きな流れ。※画像「大勢(が決まる)」は「たいせい」。
代替,だいたい,だいがえ,かわりたい,だいたえ,他のものに置き換えること。「だいがえ」は誤読。正しくは「だいたい」。
大団円,だいだんえん,だいだんまる,おおだんえん,だいとえん,物語や事件などが丸く収まって終わること。「だんえん」が正しく「だんまる」は誤り。
台頭,たいとう,だいとう,だいあたま,たいず,勢力を増して、表面に現れてくること。頭角を現すこと。
代弁,だいべん,たいべん,よべん,だいへん,代わりに話すこと。
内裏,だいり,ないり,うちり,だいりい,皇居、またはお雛様の男雛と女雛。
逞しい,たくましい,ていしい,つよしい,ちからしい,体・精神が力強くしっかりしている様子。「逞しく育つ」などの形で使われる。
他山の石,たざんのいし,たやまのいし,たざんのいわ,たやまのいわ,他人の誤った言動を見て、自分の戒めとすること。
山車,だし,やまくるま,さんしゃ,やまぐるま,祭りで引き回す飾り車のこと。「やまくるま」「さんしゃ」は誤読で「だし」が正しい。
嗜む,たしなむ,しむ,このむ,うしなむ,趣味として楽しむ・適度に親しむこと。「お茶を嗜む」「嗜み」などの形で使われる。
黄昏,たそがれ,こうこん,きたそ,きこん,夕暮れ時・薄暗くなる時刻。転じて物事の衰退期を指す。「こうこん」は誤読。
七夕,たなばた,しちせき,ななゆう,なのかゆう,7月7日の行事で織姫と彦星が年に一度会う伝説に基づく。「しちせき」は音読みで「たなばた」が一般的。
煙草,たばこ,えんそう,けむりくさ,たばご,葉を乾燥させて吸う嗜好品。「えんそう」は誤読で「たばこ」が正しい。
足袋,たび,そくたい,あしぶくろ,あしたい,和装に使う布製の履物。「そくたい」は誤読で「たび」が正しい。
躊躇う,ためらう,ちゅうちょう,とまどう,まよう,決断できずに迷うこと。「躊躇なく行動する」の「躊躇」と同じ字。
耽溺,たんでき,たんじゅん,ふけでおぼれる,たんできき,ひとつのことに夢中になって溺れること。
堪能,たんのう,かんのう,たえのう,たんなう,十分に満足すること、また技芸などに非常に優れていること。
逐次,ちくじ,おいおいじ,たくじ,ちゅくじ,順を追って次々と行うこと。「逐次処理」「逐次報告」などの形で使われる。
知悉,ちしつ,ちこと,ししつ,ちしつう,知り尽くすこと。
稚拙,ちせつ,わかへた,じせつ,ちしつ,幼稚でつたないこと。技術や文章などが未熟な様子を指す。
乳離れ,ちばなれ,にゅうばなれ,ちちばなれ,にゅうりばなれ,母乳をやめること。
嫡子,ちゃくし,てきし,嫡子,ちゃくし,正妻の産んだ最初の子。家督を継ぐべき子。
紐帯,ちゅうたい,ひもたい,じゅうたい,つながりたい,人と人、国と国などをつなぐ絆・きずな。「家族の紐帯」などの形で使われる。
蝶,ちょう,てふ,ちょうちょ,ひら,鱗翅目の昆虫。古語では「てふ」と書いた。
鳥瞰,ちょうかん,とりかん,ちょうがん,とりみ,全体を見渡すこと。
鳥獣,ちょうじゅう,とりけもの,ちょうけもの,とりじゅう,鳥と獣。
手水,ちょうず,てみず,てすい,しゅすい,神仏にお参りする前に、手や口を洗い清める水。またはその行為。
長大,ちょうだい,ながおお,ちょうたい,ながたい,非常に長くて大きいこと。
彫琢,ちょうたく,ほりたく,ちょうず,ほりず,詩や文章を美しく練り上げること。
重複,ちょうふく,じゅうふく,かさふく,ちょうぼく,同じものが重なること。「じゅうふく」は慣用読みとして広まっているが、本来は「ちょうふく」。
重宝,ちょうほう,じゅうほう,しげたから,じゅほう,便利で役立つこと。
凋落,ちょうらく,しゅうらく,おちぶれ,ちょうらく,勢いが衰えて落ちぶれること。花や葉がしぼんで落ちること。
塵,ちり,じん,ほこり,こなごみ,非常に細かいほこり・ごみ。「じん」は音読み。
陳腐,ちんぷ,ちんくさ,ふるぷ,ふるくさ,古くさくて、ありふれていてつまらないこと。
追従,ついじゅう,ついしょう,おいじゅう,おいしたがう,他人の後に従うこと。「ついしょう」はへつらうこと。
月極,つきぎめ,げっきょく,つききわめ,げつぎめ,月単位の契約。
月並み,つきなみ,げつなみ,つきならび,げつならみ,平凡なこと。
続柄,つづきがら,ぞくがら,つながら,つづきばら,親族関係の呼び方。父・母・兄弟など、家族の間柄を表す語。
美人局,つつもたせ,びじんきょく,びじん局,みとせ,夫婦などが共謀し、妻に他の男を誘惑させ、それを言いがかりに金品を脅し取る狂言。
椿,つばき,ちん,はるのはな,とうかはな,常緑樹で冬から春に花を咲かせる。「ちん」は誤読で「つばき」が正しい。
礫,つぶて,れき,こいし,なげいし,小石・石ころ。投げる石の意味もある。「れき」は音読み。
呟く,つぶやく,げんく,つぶやき,げんくす,小声で言う。
艶やか,つややか,えんやか,なまめやか,あでやか,なめらかで光沢があり美しい様子。肌・髪・果物などに使われる。
梅雨,つゆ,ばいう,うめあめ,うめゆ,6月ごろに続く長雨の時期。「ばいう」は漢語読み、「つゆ」が日本語読み。
露,つゆ,ろ,しずく,あめつぶ,朝に草などに付く水滴。「ろ」は音読み。「したたり落ちる」意味でも使われる。
釣瓶,つるべ,つりべ,つるべ,つりびん,井戸から水を汲み上げるための、縄をつけた桶。
諦観,ていかん,あきらめかん,ちかん,たいかん,物事の本質を見通すこと、または迷いなく諦めの境地に達すること。
体裁,ていさい,たいさい,たいさい,ていざい,外から見た様子、格好、世間体。書類などのレイアウトや体裁。
丁重,ていちょう,ひのとじゅう,ていじゅう,ひのとちょう,礼儀正しく、手厚いこと。
適宜,てきぎ,てきよろしく,てきぎぎ,てきよろし,各自の判断でその場にぴったり合うように行うこと。
凸凹,でこぼこ,とつおう,とつぼこ,でこうお,表面が平らでなく出っ張りやへこみがある様子。「とつおう」は音読み。
手練,てだれ,てれん,しゅれん,てのれん,技術や経験が非常に優れていること・その人物。「てれん」は別の意味もある。
天下逸品,てんかいっぴん,てんかいつぴん,てんげいっぴん,てんかいちひん,世の中に並ぶものがないほど優れた品。
伝播,でんぱ,でんばん,つたわり,でんぱ,広く伝わり、広がっていくこと。波動や文化などが他に広まること。
天賦,てんぷ,てんもち,てんぶ,てんぶぶ,生まれつき備わっている才能など。
添付,てんぷ,てんふ,そうふ,てんつけ,付け加えること。
貼付,てんぷ,ちょうふ,はりつけ,てきふ,書類などを貼り付けること。「ちょうふ」は俗読みで、正しくは「てんぷ」。
転変,てんぺん,てんべん,ころへん,てんへん,移り変わること。
頭角,とうかく,あたまつの,ずかく,あたまかく,才能や実力が周囲よりも抜きん出ること。
等閑,とうかん,とうかんん,ひとしひま,などか,物事をいい加減に扱うこと。「なおざり」とも読む。
踏査,とうさ,ふみさ,とうしゃ,ふさ,現地調査。
踏襲,とうしゅう,ふしゅう,とうしょう,ふとう,前例を受け継ぐこと。
淘汰,とうた,たいた,あらいた,たいだ,良いものを残し、不要なものを排除すること。
唐突,とうとつ,からとつ,とうつき,からつき,前触れもなく急で、不意であること。
踏破,とうは,ふみは,とうば,ふは,歩いて制覇すること。
逃避,とうひ,にげひ,とうし,のがれひ,現実や困難から逃げること。「現実逃避」「逃避行動」などの形で使われる。
答弁,とうべん,こたえべん,とうべつ,こたえべつ,質問に対して返答や説明をすること。
度外視,どがいし,たびがいし,どそとし,たびそとし,全く問題にしないこと。
読経,どきょう,よみきょう,とっきょう,どうきょう,お経を声に出して読むこと。「よみきょう」は誤読で「どきょう」が正しい。
読破,どくは,よみやぶり,どくぱ,よみは,本を最後まですべて読み切ること。
土壇場,どたんば,つちだんば,どだんば,つちたんば,決断を迫られる最後の場面。
突風,とっぷう,つきかぜ,とつふう,つきぷう,急に激しく吹く風。
兎も角,ともかく,うさぎかく,とりあえず,ともかど,それはさておき・いずれにせよという意味。「兎も角、まずやってみよう」などの形で使われる。
蜻蛉,とんぼ,せいれい,とんぼう,せいろう,昆虫の一種。また「かげろう」とも読む。「せいれい」は誤読。
貪欲,どんよく,たんよく,むさぼりよく,どんにん,飽くことなく欲しがること。非常に強い欲求・欲望の強さを表す。
内省,ないせい,ないしょう,うちかえりみ,うちせい,自分の考えや行動を深く反省すること。
内包,ないほう,うちづつみ,ないぽう,ないよう,含み持つこと。
凪,なぎ,てい,かぜなし,しずかうみ,風がやんで波が静まった状態。「てい」は誤読で「なぎ」が正しい。
仲人,なこうど,なかにん,ちゅうじん,なかびと,結婚の仲介をする人。「ちゅうじん」は誤読で「なこうど」が正しい。
名残,なごり,みょうさん,なのこり,なごろ,別れの名残・物事が終わった後に残る余韻。「みょうさん」は誤読。
名代,なだい,みょうだい,めいだい,なだい,評判が高いこと、有名であること。または代理人のこと。※画像「名代(の店)」は「なだい」。
雪崩,なだれ,ゆきくずれ,せつほう,ゆきなだ,山の斜面に積もった雪が崩れ落ちる現象。「ゆきくずれ」は誤読で「なだれ」が正しい。
捺印,なついん,おしいん,なつし,さついん,書類に印鑑を押すこと。「押印」と同じ意味。「なついん」が正しい読み。
何卒,なにとぞ,なにそつ,どうか,なんとぞ,どうか・ぜひともという意味の丁寧な依頼表現。手紙文などでよく使われる。
難解,なんかい,だんかい,なんげ,なんけ,理解しにくいこと。
難儀,なんぎ,だんぎ,なんぎょう,なんき,苦労すること。
難詰,なんきつ,むずきつ,なんづめ,むずづめ,欠点を厳しくなじること。
難航,なんこう,だんこう,なんごう,なんぎょう,順調に進まないこと。
難渋,なんじゅう,なんしぶ,なんじゅ,だんじゅう,苦労すること。
難色,なんしょく,なんいろ,だんしょく,なんじき,気が進まない様子。
難読,なんどく,だんどく,なんよみ,なんとく,読みにくいこと。
肉汁,にくじゅう,にくじる,にくしる,にくじゅ,肉を調理したときに出る、旨味を含んだ汁。
日常生活,にちじょうせいかつ,ひびじょうせいかつ,にちじょういき,ひびじょういき,普段の毎日の暮らし。
如実,にょじつ,じょじつ,ごとじつ,にょじつ,実際の通りであること、ありのまま、生き生きとしている様子。
強請る,ねだる,きょうせいする,ごうせいする,つよしる,せがむこと。
捏造,ねつぞう,でつぞう,こねつぞう,ねつくり,実際にないことを事実のように作り上げること。「記事を捏造する」などの形で使われる。
粘着,ねんちゃく,ねばちゃく,ねんちゅう,ねばちゅう,ぴったりとくっついて離れないこと。
年俸,ねんぽう,ねんぼう,としほう,ねんぽく,1年を単位として支給される給与や報酬の額。
能弁,のうべん,のうべつ,あたべん,あたべつ,言葉巧みに、しゃべるのが上手なこと。
鑿,のみ,さく,ほりどうぐ,きりき,木や石を彫る工具。「さく」は音読みで「のみ」が正しい。
海苔,のり,かいたい,うみくさ,うみのり,食用の藻類を干したもの。「かいたい」は誤読で「のり」が正しい。
暖簾,のれん,だんれん,あたためとばり,おんとばり,商店の入口に垂らす布製の仕切り。「だんれん」は誤読で「のれん」が正しい。
暢気,のんき,ちょうき,のびき,ゆっくり,細かいことを気にせず、おっとりとしている様子。「暢気者」「暢気な性格」の形で使われる。
把握,はあく,はにぎり,ばあく,はわく,しっかり理解すること。
把握力,はあくりょく,ばあくりょく,はわくりょく,はにぎりりょく,理解する力。
拝見,はいけん,はいみ,おがみけん,はいげん,見ることの謙譲語。
拝読,はいどく,はいよみ,おがみどく,はいとく,読むことの謙譲語。
破格,はかく,やぶかく,はかくく,やぶかくく,一般的・標準的な基準を大きく外れて格別なこと。
波及,はきゅう,なみきゅう,はきう,なみきう,影響がだんだんと周囲に広がっていくこと。
博学,はくがく,ばくがく,ひろがく,はっがく,広い分野の知識を持っていること。
博識,はくしき,ひろしき,ばくしき,はっしき,幅広い知識をたくさん持っていること。
箸,はし,ちょ,たべもの,しょくじき,食事に使う細長い棒状の道具。「ちょ」は音読みで「はし」が正しい。
把持,はじ,はもち,ばじ,はし,しっかり持つこと。
破綻,はたん,はじょう,やぶれたん,はじれつ,計画や事業などが行き詰まり、うまくいかなくなること。
蜂,はち,ほう,さしむし,とびむし,毒針を持つ昆虫の一種。「ほう」は音読みで「はち」が正しい。
抜群,ばつぐん,ぬきぐん,ばっぐん,ぬきむら,周囲と比べて特に優れていること。
跋扈,ばっこ,はびこり,ばつこ,はっこ,勢力を張って思うままに振る舞うこと。「悪がはびこる」の意味で使われる。
発祥,はっしょう,ほっしょう,はつしょう,ほしょう,物事の始まり。
発祥地,はっしょうち,ほっしょうち,はつしょうち,ほしょうち,始まりの場所。
破天荒,はてんこう,やぶてんこう,はてんあら,やぶてんあら,前人未到の偉業を成し遂げること。※豪快という意味は誤り。
波止場,はとば,なみとば,はしば,なみどば,船が停泊し荷物の積み降ろしをする所。「なみとば」は誤読で「はとば」が正しい。
憚る,はばかる,たんる,えんりょる,かたる,遠慮する・気がねすること。「人目を憚らず泣く」などの形で使われる。
波紋,はもん,なみもん,はぶん,はばん,水面に広がる同心円状の波。また、社会に広がる影響を指す。
端役,はやく,たんやく,はしやく,はやく,演劇や映画などで、重要性の低い重要でない役。重要性の低い役割。
貼替,はりかえ,てんかえ,ちょうかえ,はりがえ,貼り替えること。
貼紙,はりがみ,ちょうし,てんし,はりし,貼り付けた紙。
汎化,はんか,ぼんか,はんげ,ひろか,一般化すること。
万事,ばんじ,まんじ,よろずじ,よろずこと,すべてのこと。
繁盛,はんじょう,はんせい,しげもり,はんじょうう,賑わって栄えること。
万全,ばんぜん,まんぜん,よろずぜん,ばんぜん,少しの手落ちもない、完璧で絶対に安全な様子。
繁茂,はんも,しげも,はんもお,しげもお,草木が盛んに生い茂ること。
汎用,はんよう,ぼんよう,はんゆう,ひろよう,広く使えること。
凡例,はんれい,ぼんれい,ぼんたとえ,はんたとえ,書物・地図などの使い方や記号を説明した部分。「凡例を参照」などの形で使われる。
凡例集,はんれいしゅう,ぼんれいしゅう,はんらいしゅう,ぼんらいしゅう,凡例を集めたもの。
柊,ひいらぎ,しゅう,いがき,とげき,葉に鋭いトゲを持つ常緑樹。「しゅう」は誤読で「ひいらぎ」が正しい。
批准,ひじゅん,ひじゅ,ひじゅんん,ひせつ,条約を最終的に確認して承認すること。
美辞麗句,びじれいく,びじうるわしく,びことれいく,うつくしことばれいく,うわべだけを美しく飾った、中身のない言葉。
直向き,ひたむき,ちょくむき,なおむき,ひたむきき,一つのことに一生懸命に向かう様子。
逼迫,ひっぱく,きんぱく,せまりはく,ひきはく,事態が差し迫って余裕がなくなること。財政・状況が追い詰められた状態。
他人事,ひとごと,たにんごと,ほかびとごと,たじんごと,自分に関係ないこと。
一入,ひとしお,いちにゅう,いちいり,ひとついり,ひときわ、いっそう。感情や状態が他と比べてより強まる様子。
一筋縄,ひとすじなわ,いちすじなわ,いちじょうなわ,ひとすじじょう,普通の手段。多くは「?ではいかない」と否定を伴う。
批難,ひなん,うつなん,ひなんん,うつなんん,人の過ちや欠点を責めること。通常は「批判」「非難」を使う。
檜,ひのき,かい,ひきのき,ひのちき,日本の代表的な針葉樹で建材として有名。「かい」は誤読で「ひのき」が正しい。
氷山の一角,ひょうざんのいっかく,こおりやまのいっかく,ひょうざんのひとつのつの,こおりやまのひとつのつの,現れている事象が、全体のほんの一部にすぎないこと。
剽窃,ひょうせつ,ぬすみせつ,ひょうたつ,びょうせつ,他人の文章・アイデアなどを盗んで自分のものとして使うこと。いわゆる「パクリ」の書き言葉。
日和,ひより,にちわ,にっわ,にちゆう,空模様・天気の具合のこと。「にちわ」は誤読で「ひより」が正しい。
頻出,ひんしゅつ,びんしゅつ,ひんで,びんで,よく現れること。
頻繁,ひんぱん,びんぱん,ひんばん,びんばん,たびたび起こること。
吹聴,ふいちょう,すいちょう,ふききく,すいきく,言いふらすこと。
俯瞰,ふかん,うかん,ふがん,ふみ,高所から見下ろすこと。
普及,ふきゅう,ふきゅうう,あまねきゅう,ふきう,広く行き渡ること。
普及啓発,ふきゅうけいはつ,ふきゅうひらきはつ,ふきうけいはつ,ふきうひらきはつ,広く行き渡らせ、理解を深めさせること。
俯仰,ふぎょう,ふこう,うぎょう,ふよう,見上げたり見下ろしたり。
河豚,ふぐ,かぶた,かわぶた,かわとん,毒を持つ海水魚の一種。「かわぶた」は誤読で「ふぐ」が正しい。
相応しい,ふさわしい,そうおうしい,あいおうしい,そうわしい,釣り合っている。
藤,ふじ,とう,のはな,むらさきのはな,紫色の花を咲かせるつる性の植物。「とう」は音読み。
不世出,ふせいしゅつ,ふよで,ぶせいしゅつ,ふせいしつ,めったに世に現れないほど優れた。
布石,ふせき,ぬのいし,ふいし,ぬのせき,将来のためにあらかじめ打っておく手回し。
敷設,ふせつ,しきせつ,しきまう,ふせつう,鉄道や電線を設置すること。
払拭,ふっしょく,はらいふく,ふっし,はらいしき,すっかり取り除くこと。「不安を払拭する」の形でよく使われる。
不貞腐れる,ふてくされる,ふていくされる,ふてぐされる,ふてくさる,不満や反抗心から投げやりな態度をとること。「ふていくされる」は誤読。
不憫,ふびん,ふびんん,かわいそう,ぶびん,哀れでかわいそうな様子。
吹雪,ふぶき,ふうゆき,すいせつ,すいゆき,激しい風に雪が吹き飛ばされる現象。「すいせつ」は誤読で「ふぶき」が正しい。
普遍,ふへん,ふべん,あまねあまね,ふへんん,すべてに共通して広く当てはまること。
普遍的,ふへんてき,ふべんてき,あまねてき,ふへんてきき,すべてのものに共通して当てはまる様子。
訃報,ふほう,とほう,ふうほう,ほふう,死亡の知らせ。
雰囲,ふんい,ふいん,あんい,ほうい,ある場所全体に漂う気配・ムード（「雰囲気」の略ではない単語として）。
雰囲気,ふんいき,ふいんき,ふんき,ふにんき,その場に漂う独特の気配・情緒。「ふいんき」は誤読として定着しているが、正しくは「ふんいき」。
分限,ぶんげん,ぶんげ,わけげん,ぶんげんん,その人の身分や財産の程度。
平穏,へいおん,たいらおん,へいおんん,たいらおんん,変わったことがなく、穏やかなこと。
平生,へいぜい,へいせい,ひらなま,へいじょう,ふだん、いつも、平素。日常の様子。
辟易,へきえき,うんざり,かへき,ひきえき,嫌になってうんざりすること。しつこさや煩わしさに手を焼く様子。
下手,へた,しもて,したて,しもで,技術が劣っていること。舞台用語では「しもて」、謙遜語では「したて」とも読む。
蔑視,べっし,さげすみし,みくだし,へいし,見下すこと・軽蔑して扱うこと。「女性蔑視」「弱者蔑視」などの形で使われる。
偏屈,へんくつ,へんほり,へんつつ,かたくつ,ひねくれていること。
偏見,へんけん,へんみ,かたよりけん,へんげん,先入観。
偏在,へんざい,へんさい,かたよざい,へんあり,偏って存在すること。
偏重,へんちょう,へんじゅう,かたよりちょう,へんしょう,一方に偏ること。
変貌,へんぼう,へんかお,へんぼうう,へんかおう,姿や様子がすっかり変わること。
片鱗,へんりん,かたりん,へんうろこ,かたうろこ,ほんの一部。
返戻,へんれい,へんもどり,へんろ,へんとう,返却すること。
放埓,ほうらつ,ほうらつつ,はなちらつ,ほうらつち,勝気で気まま、だらしないこと。
蛍,ほたる,けい,ひかりむし,ようこう,夜に発光する昆虫。「けい」は音読みで「ほたる」が正しい。
発起,ほっき,はっき,はつき,ほき,計画を起こすこと。
発足,ほっそく,はっそく,はつそく,ほつそく,組織などが始まること。
発端,ほったん,はったん,ほつたん,はつたん,物事の始まり。
勃発,ぼっぱつ,おこりはつ,ぼつはつ,おこりぱつ,事件などが急に起きること。
本懐,ほんかい,ほんけ,もとかい,ほんかいいた,本来の願いや本望。
反故,ほんご,はんこ,はんこお,ほんこ,書き損じた紙、または約束を無効にすること。「ほご」とも。
凡人,ぼんじん,はんじん,ぼんにん,ぼうじん,普通の人。
凡退,ぼんたい,はんたい,ぼんてい,ぼうたい,平凡なアウト。
凡退王,ぼんたいおう,はんたいおう,ぼんていおう,ぼうたいおう,野球の記録。
凡百,ぼんぴゃく,はんぴゃく,ぼんびゃく,ぼんひゃく,多くの平凡なもの。
