k,c,w1,w2,w3,m
輸入,ゆにゅう,ゆうにゅう,しゅにゅう,ゆいれ,国外から買うこと
乳離れ,ちばなれ,にゅうばなれ,ちちばなれ,にゅうりばなれ,母乳をやめること
強請る,ねだる,きょうせいする,ごうせいする,つよしる,せがむこと
相俟って,あいまって,そうまって,あいまたって,そうまたって,互いに作用して
相克,そうこく,あいこく,そうかつ,そうごく,対立すること
愛玩,あいがん,あいそん,あいこう,あいかん,かわいがること
内包,ないほう,うちづつみ,ないぽう,ないよう,含み持つこと
外套,がいとう,そとう,がいとうう,そとぎ,コート
凡百,ぼんぴゃく,はんぴゃく,ぼんびゃく,ぼんひゃく,多くの平凡なもの
拝読,はいどく,はいよみ,おがみどく,はいとく,読むことの謙譲語
拝見,はいけん,はいみ,おがみけん,はいげん,見ることの謙譲語
進言,しんげん,すすみげん,しんごん,しんけん,意見を述べること
具申,ぐしん,ぐもうし,ぐじん,ぐしょう,意見を申し出ること
直訴,じきそ,ちょくそ,なおそ,じかそ,直接訴えること
進呈,しんてい,しんてつ,すすみてい,しんじょう,贈ること
寄贈,きぞう,きそう,よせぞう,きじょう,贈り与えること
贈呈,ぞうてい,そうてい,ぞうじょう,おくりてい,贈ること
返戻,へんれい,へんもどり,へんろ,へんとう,返却すること
示唆,しさ,じさ,しだ,じしゃ,それとなく示すこと
示談,じだん,しだん,じたん,していだん,話し合いによる解決
趣旨,しゅし,しゅうし,しゅじ,しゅいし,主な内容
趣向,しゅこう,しこう,しゅごう,しゅきょう,工夫や趣味
鳥瞰,ちょうかん,とりかん,ちょうがん,とりみ,全体を見渡すこと
俯瞰,ふかん,うかん,ふがん,ふみ,高所から見下ろすこと
概説,がいせつ,がいぜつ,かいせつ,がいしょう,大まかな説明
概況,がいきょう,かいきょう,がいこう,がいじょう,全体の様子
概算,がいさん,かいさん,がいざん,かいざん,おおよその計算
汎用,はんよう,ぼんよう,はんゆう,ひろよう,広く使えること
汎化,はんか,ぼんか,はんげ,ひろか,一般化すること
脅威,きょうい,きょううい,おどしい,きょうえ,おびやかす力
脅迫,きょうはく,きょうばく,おどしはく,きょうぱく,脅して迫ること
埋没,まいぼつ,うもつ,まいもつ,うめぼつ,埋もれること
埋蔵,まいぞう,うめぞう,まぞう,まいそう,埋めて保存すること
履歴,りれき,ふくれき,りりゃく,りせき,過去の記録
履修,りしゅう,ふしゅう,りしょう,りじゅう,学習課程を修めること
重宝,ちょうほう,じゅうほう,しげたから,じゅほう,便利で役立つこと
音声,おんせい,おんしょう,ねごえ,おとごえ,声や音
発足,ほっそく,はっそく,はつそく,ほつそく,組織などが始まること
発起,ほっき,はっき,はつき,ほき,計画を起こすこと
発祥,はっしょう,ほっしょう,はつしょう,ほしょう,物事の始まり
輪郭,りんかく,わかく,りんがく,りんこく,外形の線
輪廻,りんね,わね,りんかい,りんえ,生まれ変わり
収拾,しゅうしゅう,しゅうじゅう,しゅうひろい,しゅしゅう,まとめること
収奪,しゅうだつ,しゅうだち,しゅうとつ,しゅうだっ,奪い取ること
閲覧,えつらん,けつらん,えらん,えつみ,見ること
閲歴,えつれき,けつれき,えつりゃく,えつれつ,経歴
偏重,へんちょう,へんじゅう,かたよりちょう,へんしょう,一方に偏ること
偏見,へんけん,へんみ,かたよりけん,へんげん,先入観
既婚,きこん,がいこん,きごん,きけん,結婚していること
未婚,みこん,びこん,みごん,みけん,結婚していないこと
難色,なんしょく,なんいろ,だんしょく,なんじき,気が進まない様子
難航,なんこう,だんこう,なんごう,なんぎょう,順調に進まないこと
難儀,なんぎ,だんぎ,なんぎょう,なんき,苦労すること
依怙地,いこじ,いこうち,いこんじ,いごじ,意地を張ること
強靭,きょうじん,きょうせい,ごうじん,きょうにん,強くしなやかなこと
脈々,みゃくみゃく,みゃくばく,ばくばく,みゃくやく,絶えず続くこと
漸増,ぜんぞう,ざんぞう,ぜんそう,せんぞう,少しずつ増えること
漸減,ぜんげん,ざんげん,ぜんかん,せんげん,少しずつ減ること
把握,はあく,はにぎり,ばあく,はわく,しっかり理解すること
踏襲,とうしゅう,ふしゅう,とうしょう,ふとう,前例を受け継ぐこと
他愛ない,たあいない,たわいない,ほかあいない,たいない,とりとめがない
代替,だいたい,だいがえ,よたい,だいたいえ,代わりにすること
続柄,つづきがら,ぞくがら,つづきへい,ぞくへい,親族関係
出生率,しゅっしょうりつ,しゅっせいりつ,しゅつしょうりつ,しゅっしょうそつ,生まれる割合
相殺,そうさい,あいさつ,そうさつ,あいさい,差し引きすること
凡例,はんれい,ぼんれい,はんらい,ぼんらい,説明の見本
依存心,いぞんしん,いそんしん,いじんしん,いぞうしん,頼る気持ち
重複,ちょうふく,じゅうふく,ちょうぶく,じゅうぶく,重なること
貼付,ちょうふ,てんぷ,はりつけ,ちょうつけ,貼り付けること
添付,てんぷ,てんふ,そうふ,てんつけ,付け加えること
早急,さっきゅう,そうきゅう,さきゅう,そうきゅ,急ぐこと
代弁,だいべん,たいべん,よべん,だいへん,代わりに話すこと
愛称,あいしょう,あいしょうう,あいせい,あいじょう,親しみのある呼び名
施行,しこう,せこう,しぎょう,せぎょう,実施すること
競売,けいばい,きょうばい,きょううり,けいうり,せり売り
応対,おうたい,おうてい,おうだい,こたいたい,応じること
応酬,おうしゅう,おうじゅう,おうとう,おうそう,やり取り
凡例集,はんれいしゅう,ぼんれいしゅう,はんらいしゅう,ぼんらいしゅう,凡例を集めたもの
受理,じゅり,じゅうり,うけり,じゅれい,受け付けること
受領,じゅりょう,じゅうりょう,うけりょう,じゅれい,受け取ること
異口同音,いくどうおん,いこうどうおん,いぐちどうおん,いくどういん,皆が同じ意見
続投,ぞくとう,つづきとう,しょくとう,ぞくなげ,引き続き担当すること
間髪,かんはつ,かんぱつ,まはつ,あいだはつ,わずかな時間
漸次,ぜんじ,ざんじ,せんじ,ぜんし,順に少しずつ
漸進,ぜんしん,ざんしん,せんしん,ぜんじん,少しずつ進むこと
折衷,せっちゅう,おりちゅう,せつちゅう,せっこう,双方を取り入れること
折檻,せっかん,おりかん,せつかん,せっけん,厳しく叱ること
月並み,つきなみ,げつなみ,つきならび,げつならみ,平凡なこと
発端,ほったん,はったん,ほつたん,はつたん,物事の始まり
発祥地,はっしょうち,ほっしょうち,はつしょうち,ほしょうち,始まりの場所
言質,げんち,ことしつ,げんしつ,ことち,証拠になる言葉
素人,しろうと,そじん,すじん,しにん,専門家でない人
玄人,くろうと,げんじん,げんにん,くろびと,専門家
相乗効果,そうじょうこうか,あいのりこうか,そうじょうこうが,そうじょうか,互いに高め合う効果
愛顧,あいこ,あいぐ,あいこう,あいご,ひいきにすること
一蹴,いっしゅう,いっそう,いっけり,いっしゅつ,簡単に退けること
一矢,いっし,いちや,いっや,ひとや,一本の矢
凡退王,ぼんたいおう,はんたいおう,ぼんていおう,ぼうたいおう,野球の記録
一喝,いっかつ,いちかつ,ひとかつ,いっこう,大声で叱ること
消耗,しょうもう,しょうこう,しょうぼう,けもう,使い減らすこと
消却,しょうきゃく,しょうしゃく,しょうけつ,けしょう,帳簿から除くこと
凡ミス,ぼんみす,はんみす,ぼうみす,ぼんめす,単純なミス
奇抜,きばつ,きぬき,きばち,きはつ,変わっていること
奇特,きとく,きどく,きとっく,きどっく,感心なこと
既得権,きとくけん,きどくけん,がいとくけん,きとっけん,既に得た権利
既成事実,きせいじじつ,がいせいじじつ,きじょうじじつ,きせじじつ,既に成立した事実
既知,きち,がいち,きじ,きし,知っていること
概念,がいねん,かいねん,がいれん,かいれん,物事の基本的な考え
概略,がいりゃく,かいりゃく,がいやく,かいやく,大まかな内容
概論,がいろん,かいろん,がいりん,かいりん,総論
脆弱,ぜいじゃく,きじゃく,ぜいよわ,ぜじゃく,もろいこと
脅かす,おびやかす,きょうかす,おどろかす,おびかす,危険を与えること
脅える,おびえる,きょうえる,おどえる,おびる,恐れること
執拗,しつよう,しゅうよう,しつおう,しゅつよう,しつこいこと
執刀,しっとう,しゅっとう,しつとう,しっとうう,手術すること
執行,しっこう,しゅうこう,しつこう,せっこう,実施すること
踏破,とうは,ふみは,とうば,ふは,歩いて制覇すること
踏査,とうさ,ふみさ,とうしゃ,ふさ,現地調査
収監,しゅうかん,しゅうけん,しゅうがん,しゅかん,刑務所に入れること
収斂,しゅうれん,しゅうせん,しゅうかん,しゅうりん,集まること
収穫,しゅうかく,しゅうがく,しゅかく,しゅうこく,取り入れ
進捗,しんちょく,しんぽ,しんとく,しんそく,進み具合
難渋,なんじゅう,なんしぶ,なんじゅ,だんじゅう,苦労すること
難解,なんかい,だんかい,なんげ,なんけ,理解しにくいこと
難読,なんどく,だんどく,なんよみ,なんとく,読みにくいこと
依然,いぜん,よりぜん,いぜんん,いさき,そのまま
依拠,いきょ,いこ,いこう,いきょう,根拠とすること
依頼心,いらいしん,いらいごころ,よりしん,いぞんしん,頼る気持ち
輪番,りんばん,わばん,りんはん,りんぼん,順番に担当
輪唱,りんしょう,わしょう,りんそう,りんじょう,順に歌うこと
把持,はじ,はもち,ばじ,はし,しっかり持つこと
把握力,はあくりょく,ばあくりょく,はわくりょく,はにぎりりょく,理解する力
偏在,へんざい,へんさい,かたよざい,へんあり,偏って存在すること
偏屈,へんくつ,へんほり,へんつつ,かたくつ,ひねくれていること
閲読,えつどく,けつどく,えらんどく,えつよみ,読むこと
閲兵,えっぺい,けっぺい,えつへい,えっへい,軍隊の視察
趣味,しゅみ,しゅうみ,しゅび,しゅうび,好み
趣意書,しゅいしょ,しゅみしょ,しゅういしょ,しゅじしょ,目的説明文
鳥獣,ちょうじゅう,とりけもの,ちょうけもの,とりじゅう,鳥と獣
俯仰,ふぎょう,ふこう,うぎょう,ふよう,見上げたり見下ろしたり
俯せる,うつぶせる,ふせる,ふかせる,うつせる,うつ伏せにする
脈拍,みゃくはく,みゃくぱく,ばくはく,みゃくひょう,脈の回数
脈診,みゃくしん,ばくしん,みょうしん,みゃくせん,脈を見る診察
廉売,れんばい,けんばい,れんうり,れんぱい,安売り
廉恥,れんち,けんち,れんじ,れんし,恥を知ること
措定,そてい,しょてい,そうてい,さだてい,仮に定めること
措置法,そちほう,しょちほう,そうちほう,さちほう,特別法
強硬,きょうこう,ごうこう,きょうごう,つよこう,態度が厳しいこと
強弁,きょうべん,ごうべん,つよべん,きょうへん,無理に言い張ること
強要,きょうよう,ごうよう,つよよう,きょうようう,無理に求めること
一炊の夢,いっすいのゆめ,いっしゃくのゆめ,いっすいのむ,ひとたきのゆめ,人生の栄華は儚いということ。
一瞥,いちべつ,いちげつ,いっかい,いちえつ,ちらっと見ること。
一段落,いちだんらく,ひとだんらく,いちだんがえ,ひとだんろく,物事が一区切りつくこと。「ひとだんらく」は慣用読み。
一堂,いちどう,ひとどう,いっちょう,いっどうう,一つの建物や同じ場所に集まること。
右往左往,うおうさおう,うゆうさゆう,みぎおうひだりおう,うおうさゆう,混乱してあちこち動き回ること。
閏年,うるうどし,じゅんねん,かんねん,うるうねん,2月が29日ある年のこと。
会得,えとく,かいとく,あいとく,えどく,物事を理解して自分のものにすること。
回向,えこう,かいこう,えむけ,かいむけ,死者の成仏を願って仏事を行うこと。
回廊,かいろう,えろう,かいかく,まわりろう,建物の周りを取り囲む屋根付きの廊下。
画策,かくさく,がさく,かくさつ,がさつ,ひそかに計画を立てること。
拡散,かくさん,がっさん,ひろさん,かくざん,広がり散らばること。
楽観,らっかん,がっかん,らくかん,らくがん,物事を良い方に考えること。
割愛,かつあい,わりあい,かつめい,わりあいす,惜しいと思いながらも省略すること。
間髪を入れず,かんはつをいれず,かんぱつをいれず,まかみをいれず,かんぱつをいれて,間に髪の毛1本も挟めないほど即座に。
危急,ききゅう,あぶきゅう,ききゅうう,ききょ,危険が差し迫っていること。
奇才,きさい,くさい,きざい,きさつ,卓越した才能のこと。
希求,ききゅう,まれきゅう,きく,けきゅう,強く願い求めること。
詰問,きつもん,つめもん,けつもん,きつもんん,厳しく問い詰めること。
客体,きゃくたい,かくたい,きゃくたいあい,かくたいあい,主観の認識の対象となるもの。
客分,かくぶん,きゃくぶん,きゃくわけ,かくわけ,組織の外から客として迎える立場。
逆転,ぎゃくてん,さかてん,ぎゃくでん,さかてんん,事の形勢が反対になること。
久遠,くおん,きゅうえん,ひさとお,くえん,永遠のこと。
供奉,ぐぶ,きょうほう,ともほう,くほう,行幸などに供として付き従うこと。
苦言,くげん,にがこと,くごん,にがげん,相手のためを思っていさめる言葉。
具眼,ぐがん,つぶがん,ぐげん,ともがん,物事の真価を見抜く確かな眼力があること。
建立,こんりゅう,けんりつ,こんりつ,けんりゅう,寺院や堂塔を建てること。
古文書,こもんじょ,こぶんしょ,ふるもんじょ,こもんしょ,古い時代の公文書や記録。
借用,しゃくよう,かりよう,しゃくもち,かりもち,物を借りること。
主客,しゅかく,しゅきゃく,おもきゃく,しゅかくう,主人と客、または主なものと従属するもの。
遵守,じゅんしゅ,そんしゅ,じゅんまもり,そんまもり,法律や規則に従い、それを守ること。
成就,じょうじゅ,せいじゅ,じょうしゅう,せいしゅう,願いや望みが叶うこと。
新進気鋭,しんしんきえい,しんしんきぜつ,あたらしんきえい,しんしんけいえい,ある分野に新しく登場し、勢いが盛んなこと。
親見,しんけん,おやみ,しんみ,おやけん,自分の目で実際に確かめること。
進捗,しんちょく,しんぽ,しんてき,しんあゆみ,物事が捗ること。「しんぽ」は別の漢字。
吹聴,ふいちょう,すいちょう,ふききく,すいきく,言いふらすこと。
推敲,すいこう,おしこう,すいこうう,おしたたき,文章を何度も練り直すこと。
正気,しょうき,せいき,ただき,まさき,確かな意識。
正確,せいかく,しょうかく,まさかく,せいかくう,間違いがないこと。
折半,せっぱん,おらはん,せつはん,おりはん,二等分にすること。
洗礼,せんれい,あらいれい,せんらい,せんれつ,キリスト教の入信儀式、または最初の試練。
相好,そうごう,そうこう,あいこう,あいごう,表情や顔立ちのこと。
相応,そうおう,あいおう,そうおうう,あいおうう,ふさわしいこと。
他人事,たにんごと,ひとごと,たにんじ,ひとじ,自分に関係のないこと。「ひとごと」が本来の読み。
大衆,たいしゅう,だいしゅう,おおしゅう,たいしゅうう,一般の民衆。
知悉,ちしつ,ちこと,ししつ,ちしつう,知り尽くすこと。
貼紙,はりがみ,ちょうし,てんぷし,ちょうがみ,壁などに貼る紙。「ちょうし」は誤読。
直訴,じきそ,ちょくそ,なおそ,じきそす,手続きを踏まずに直接目上の人に訴えること。
追従,ついじゅう,ついしょう,おいじゅう,おいしたがう,他人の後に従うこと。「ついしょう」はへつらうこと。
定石,じょうせき,ていせき,さだいし,ていいし,囲碁の決まった打ち方、または物事の定番の方法。
天下逸品,てんかいっぴん,てんかいつぴん,てんげいっぴん,てんかいちひん,世の中に並ぶものがないほど優れた品。
転変,てんぺん,てんべん,ころへん,てんへん,移り変わること。
土壇場,どたんば,つちだんば,どだんば,つちたんば,決断を迫られる最後の場面。
踏襲,とうしゅう,ふみしゅう,とうしゅうう,ふみつぎ,前人のやり方をそのまま受け継ぐこと。
読経,どきょう,どっけい,よみきょう,どくきょう,お経を声に出して読むこと。
突風,とっぷう,つきかぜ,とつふう,つきぷう,急に激しく吹く風。
内裏,だいり,ないり,うちり,だいりい,皇居、またはお雛様の男雛と女雛。
難航,なんこう,むずこう,なんこうう,かたこう,障害が多くて進行が遅れること。
日和,ひより,にちわ,ひわ,にちより,天候、または物事をするのに都合の良い天気。
博学,はくがく,ばくがく,ひろがく,はっがく,広い分野の知識を持っていること。
破綻,はたん,はじょう,やぶじょう,はてい,物事が成り立たなくなること。
繁盛,はんじょう,はんせい,しげもり,はんじょうう,賑わって栄えること。
万寿,まんじゅ,ばんじゅ,よろずじゅ,まんじゅじゅ,長寿を祝う言葉。
批准,ひじゅん,ひじゅ,ひじゅんん,ひせつ,条約を最終的に確認して承認すること。
不世出,ふせいしゅつ,ふよで,ぶせいしゅつ,ふせいしつ,めったに世に現れないほど優れた。
普及,ふきゅう,ふきゅうう,あまねきゅう,ふきう,広く行き渡ること。
敷設,ふせつ,しきせつ,しきまう,ふせつう,鉄道や電線を設置すること。
普遍,ふへん,ふべん,あまねあまね,ふへんん,すべてに共通して広く当てはまること。
分限,ぶんげん,ぶんげ,わけげん,ぶんげんん,その人の身分や財産の程度。
片鱗,へんりん,かたりん,へんうろこ,かたうろこ,ほんの一部。
本懐,ほんかい,ほんけ,もとかい,ほんかいいた,本来の願いや本望。
満身創痍,まんしんそうい,まんしんきず,みつみそうい,まんしんそうき,体中が傷だらけ、または非難を浴びている状態。
未曾有,みぞう,みぞうう,みそう,いまだかつてない,いまだかつて起こったことがない珍しいこと。
妙味,みょうみ,たえみ,みょうみい,みょうび,優れた味わいやおもしろみ。
名誉,めいよ,みょうよ,なよ,めいよお,誇りとなる良い評判。
目論見,もくろみ,めろんみ,もくがんけん,めのもくろみ,計画や企てのこと。
野暮,やぼ,のぼ,やば,のば,洗練されておらず、融通が利かないこと。
唯々諾々,いいだくだく,ただただだくだく,ゆいゆいだくだく,いいだく,他人の言いなりになる様子。
遺言,ゆいごん,いごん,のこりこと,ゆいこと,死後のために言葉を残すこと。「いごん」は法的な表現。
遊興,ゆうきょう,ゆうこう,あそびきょう,ゆうきょうう,遊んで楽しむこと。
理不尽,りふじん,りふづん,わけふじん,りふしん,道理に合わないこと。
流布,るふ,りゅうふ,ながれぬの,りゅうほ,世間に広く広まること。
流転,るてん,りゅうてん,ながれころがり,りゅうでん,移り変わっていくこと。
励行,れいこう,はげこう,れいぎょう,はげみおこない,決めたことを厳しく実行すること。
労資,ろうし,ろうじ,ろうしし,ろうしす,労働者と使用者（経営者）。
冤罪,えんざい,うさぎつみ,おんざい,えんさい,無実の罪。
乖離,かいり,けいり,あいり,かいれつ,かけ離れること。
詭弁,きべん,あやべん,きべんん,きべつ,こじつけの議論。
捏造,ねつぞう,でつぞう,こねづくり,ねつぞうう,事実でないことをでっち上げること。「でつぞう」は古い読み。
逼迫,ひっぱく,ふくはく,ひつはく,びっぱく,事態が差し迫って余裕がないこと。
穿つ,うがつ,ほじる,うがつす,せんつ,本質を捉える、または穴をあける。
呟く,つぶやく,げんく,つぶやき,げんくす,小声で言う。
狼狽,ろうばい,おおかみばい,ろうはい,おおかみうろたえ,慌てふためくこと。
奢侈,しゃし,おごり,しゃしし,おごりもの,必要以上に贅沢をすること。
矜持,きょうじ,きんじ,きょうじじ,きんじじ,自分の能力に対する誇り。「きんじ」は慣用読み。
進退維谷まる,しんたいいきわまる,しんたいいこくまる,しんたいいやまる,しんたいいたにまる,どうにも動きが取れなくなること。
面目,めんぼく,めんもく,めんぶつ,かおめ,世間に対する名誉や立場。「めんもく」も正解。
一新,いっしん,ひとあたらし,いちにゅう,いっしんん,すっかり新しくすること。
行脚,あんぎゃ,こうきゃ,あんあし,こうあし,諸国を巡り歩くこと。
横柄,おうへい,よこがら,おうがら,よこへい,威張って人を見下す態度。
一昨昨日,さきおととい,いっさくさくじつ,さくさくじつ,ひとおととい,おとといの前の日のこと。
一段,いちだん,ひとだん,いちだんん,ひとだんん,他と比べて程度が格段に違うこと。
一蹴,いっしゅう,いちしゅう,いっそく,いちそく,あっさりと断ったり、簡単に打ち負かしたりすること。
意気消沈,いきしょうちん,いきしょうしん,いきけしたか,いきしょうてん,元気がなくなって沈み込むこと。
一筋縄,ひとすじなわ,いちすじなわ,いちじょうなわ,ひとすじじょう,普通の手段。多くは「?ではいかない」と否定を伴う。
引導,いんどう,ひきみち,いんとう,ひきどう,あきらめるように最終的な宣告をすること。
隠蔽,いんぺい,おんぺい,かくぺい,いんへい,都合の悪いことを隠し覆うこと。
有頂天,うちょうてん,ありちょうてん,ういただきてん,うぢょうてん,大喜びして我を忘れること。
会釈,えしゃく,かいしゃく,あいしゃく,えしゃくく,軽く頭を下げて挨拶すること。
回帰,かいき,えき,かいきき,えきき,ひとまわりして元の状態に戻ること。
壊滅,かいめつ,えめつ,こわれめつ,かいめつつ,組織や街などがすっかり破壊されてなくなること。
確執,かくしつ,かくしゅう,たしかつ,かくしつづ,互いに自分の意見を譲らないことから生じる不和。
寡黙,かもく,すくもく,ひくもく,かもくく,言葉数が少なく、静かなこと。
間隙,かんげき,まげき,かんげきき,まげきき,物と物とのすき間、または不和のきっかけ。
含蓄,がんちく,ふくちく,がんちゅう,ふくちゅう,言葉などのなかに深い意味が込められていること。
奇禍,きか,くか,きわざ,くわざ,思いがけない災難のこと。
忌憚,きたん,いたん,きだん,いだん,いみはばかること。多くは「?のない意見」と否定を伴う。
玉石混交,ぎょくせきこんこう,たまいしこんこう,ぎょくせきこんごう,たまいしこんごう,優れたものと劣ったものが混ざっていること。
業腹,ごうはら,ぎょうはら,わざはら,ごうぶく,非常に腹が立つこと。
金字塔,きんじとう,かねじとう,きんじどう,かねじどう,後世に永く残るような偉大な業績。
形骸化,けいがいか,かたちがいか,けいからだか,けいけいか,形だけで中身や意味がなくなってしまうこと。
薫陶,くんとう,かおりとう,くんどう,かおりどう,優れた人格で人を教育し育てること。
景気,けいき,かげき,けいきき,けいきぎ,経済活動の活気の連動、または様子。
劇薬,げきやく,げきぐすり,げきらくだ,げきやくく,作用が激しく、使い方を誤ると危険な医薬品。
固執,こしつ,こしゅう,かたしつ,こしゅうう,自分の意見を頑なに譲らないこと。「こしゅう」も本来は正解。
互選,ごせん,たがいせん,ごえらび,たがいえらび,特定のメンバーの中でお互いに投票して選ぶこと。
誇張,こちょう,ほちょう,こちょうう,ほちょうう,大げさに表現すること。
姑息,こそく,まごそく,こそくく,古い息,根本的な解決をせず、その場しのぎをすること。
古今東西,ここんとうざい,ふるいまことうざい,ここんひがしにし,ふるいまこひがしにし,昔から今まで、そしてあらゆる場所で。
御利益,ごりやく,ごりえき,おんりえき,おりえき,神仏から授かる恵みのこと。
行住坐臥,ぎょうじゅうざが,こうじゅうざが,ぎょうじゅうすわるふす,あんじゅうざが,歩く、とどまる、座る、寝るという日常の振る舞い。
彩る,いろどる,さいる,いろどるす,さいるす,美しく飾ったり、色をつけたりすること。
刷新,さっしん,あらっしん,さつしん,あたらしん,悪い状態を改めて、まったく新しくすること。
山積,さんせき,やまづみ,さんじゃく,やまづみみ,問題や仕事が山のようにたまっていること。
暫定,ざんてい,しばらくてい,ざんじょう,しばらくじょう,正式に決まるまで、一時的に取り決めること。
質実剛健,しつじつごうけん,しちじつごうけん,ただじつごうけん,しつじつつよたけ,飾り気がなく真面目で、心身ともにたくましいこと。
示唆,しさ,じさ,しけい,じけい,それとなくヒントを与えて教えること。
私利私欲,しりしよく,わたくしりわたくしよう,しりしよくく,わたくしりわたくしよく,自分の利益や欲望だけを追求すること。
嗜好,しこう,たしなみこう,しこうう,たしなみこうう,好んで親しむこと。
遮る,さえぎる,しゃる,さえぎるす,しゃるす,進行や視界を途中で邪魔して止めること。
杓子定規,しゃくしじょうぎ,ひしゃくしじょうぎ,しゃくしていき,ひしゃくしていき,決まりきった基準にこだわり、融通がきかないこと。
宿痾,しゅくあ,やどあ,しゅくお,やどお,長年治らないでいる重い病気。
従容,しょうよう,じゅうよう,したがいよう,じゅうようう,ゆったりと落ち着いていて慌てない様子。
諸刃の剣,もろはのつるぎ,しょはのつるぎ,もろはのけん,しょはのけん,一方では役に立つが、他方では大損害を被る危険があるもの。
深謝,しんしゃ,ふかしゃ,しんしゃしゃ,ふかしゃしゃ,深く感謝すること、または深く謝罪すること。
数奇,すうき,すうきき,かずき,かずきき,運命のめぐり合わせが波乱万丈であること。
寸暇,すんか,すんひま,ちょっとひま,すんかか,ほんのわずかな空き時間。
正味,しょうみ,せいみ,ただみ,まさみ,外袋などを除いた、中身だけの実際の量や価値。
赤裸々,せきらら,あからら,あか裸々,せきはだか,包み隠さず、すべてをありのままにすること。
脆弱性,ぜいじゃくせい,きしゃくせい,よわじゃくせい,ぜいじゃくしょう,コンピュータ等の安全上の欠陥、またはもろさ。
先見の明,せんけんのめい,さきみのめい,せんけんのあきら,さきみのあきら,将来何が起こるかをあらかじめ見抜く知恵。
漸次,ぜんじ,ざんじ,ようやくじ,ざんじじ,だんだんと、次第に。※「暫時（しばらくの間）」と混同注意。
全幅,ぜんぷく,ぜんはば,ぜんぱく,まったくはば,あらゆる限りの、すべての。「全幅の信頼」などと使う。
相殺,そうさい,そうさつ,あいさつ,あいさい,互いの貸し借りを差し引いて帳消しにすること。
造詣,ぞうけい,ぞうし,つくりけい,つくりし,その分野の学問や技術に深い知識と理解があること。
即席,そくせき,すぐせき,そくばしょ,すぐばしょ,その場ですぐに用意すること。
対峙,たいじ,たいじじ,むかいじ,むかいじじ,向かい合ってそびえ立つこと、または対抗して睨み合うこと。
他山の石,たざんのいし,たやまのいし,たざんのいわ,たやまのいわ,他人の誤った言動を見て、自分の戒めとすること。
耽溺,たんでき,たんじゅん,ふけでおぼれる,たんできき,ひとつのことに夢中になって溺れること。
彫琢,ちょうたく,ほりたく,ちょうず,ほりず,詩や文章を美しく練り上げること。
長大,ちょうだい,ながおお,ちょうたい,ながたい,非常に長くて大きいこと。
直向き,ひたむき,ちょくむき,なおむき,ひたむきき,一つのことに一生懸命に向かう様子。
陳腐,ちんぷ,ちんくさ,ふるぷ,ふるくさ,古くさくて、ありふれていてつまらないこと。
丁重,ていちょう,ひのとじゅう,ていじゅう,ひのとちょう,礼儀正しく、手厚いこと。
適宜,てきぎ,てきよろしく,てきぎぎ,てきよろし,各自の判断でその場にぴったり合うように行うこと。
天賦,てんぷ,てんもち,てんぶ,てんぶぶ,生まれつき備わっている才能など。
度外視,どがいし,たびがいし,どそとし,たびそとし,全く問題にしないこと。
唐突,とうとつ,からとつ,とうつき,からつき,前触れもなく急で、不意であること。
等閑,とうかん,とうかんん,ひとしひま,などか,物事をいい加減に扱うこと。「なおざり」とも読む。
淘汰,とうた,たいた,あらいた,たいだ,良いものを残し、不要なものを排除すること。
答弁,とうべん,こたえべん,とうべつ,こたえべつ,質問に対して返答や説明をすること。
頭角,とうかく,あたまつの,ずかく,あたまかく,才能や実力が周囲よりも抜きん出ること。
読破,どくは,よみやぶり,どくぱ,よみは,本を最後まですべて読み切ること。
内省,ないせい,ないしょう,うちかえりみ,うちせい,自分の考えや行動を深く反省すること。
難詰,なんきつ,むずきつ,なんづめ,むずづめ,欠点を厳しくなじること。
日常生活,にちじょうせいかつ,ひびじょうせいかつ,にちじょういき,ひびじょういき,普段の毎日の暮らし。
粘着,ねんちゃく,ねばちゃく,ねんちゅう,ねばちゅう,ぴったりとくっついて離れないこと。
能弁,のうべん,のうべつ,あたべん,あたべつ,言葉巧みに、しゃべるのが上手なこと。
把握,はおく,はつかみ,はあく,わがて,内容をしっかりと理解し、自分のものにすること。
博識,はくしき,ひろしき,ばくしき,はっしき,幅広い知識をたくさん持っていること。
破天荒,はてんこう,やぶてんこう,はてんあら,やぶてんあら,前人未到の偉業を成し遂げること。※豪快という意味は誤り。
波及,はきゅう,なみきゅう,はきう,なみきう,影響がだんだんと周囲に広がっていくこと。
破格,はかく,やぶかく,はかくく,やぶかくく,一般的・標準的な基準を大きく外れて格別なこと。
抜群,ばつぐん,ぬきぐん,ばっぐん,ぬきむら,周囲と比べて特に優れていること。
繁茂,はんも,しげも,はんもお,しげもお,草木が盛んに生い茂ること。
反故,ほんご,はんこ,はんこお,ほんこ,書き損じた紙、または約束を無効にすること。「ほご」とも。
万事,ばんじ,まんじ,よろずじ,よろずこと,すべてのこと。
美辞麗句,びじれいく,びじうるわしく,びことれいく,うつくしことばれいく,うわべだけを美しく飾った、中身のない言葉。
批難,ひなん,うつなん,ひなんん,うつなんん,人の過ちや欠点を責めること。通常は「批判」「非難」を使う。
氷山の一角,ひょうざんのいっかく,こおりやまのいっかく,ひょうざんのひとつのつの,こおりやまのひとつのつの,現れている事象が、全体のほんの一部にすぎないこと。
